Name,Province,ID,Lat,Lon,Elevation
CHURCHILL FALLS A,NL,8501132,53.55,-64.1,439
GOOSE A,NL,8501900,53.32,-60.42,48
MARY'S HARBOUR A,NL,8502591,52.3,-55.83,10
NAIN,NL,8502799,56.55,-61.68,7
WABUSH LAKE A,NL,8504175,52.93,-66.87,551
CARIBOU POINT (AUT),NS,8200774,45.77,-62.68,2
EDDY POINT,NS,8201716,45.52,-61.25,66
GREENWOOD A,NS,8202000,44.98,-64.92,28
HALIFAX,NS,8202200,44.65,-63.57,31
HALIFAX INTL A,NS,8202251,44.88,-63.52,145
INGONISH BEACH,NS,8202500,46.65,-60.4,7
KENTVILLE CDA CS,NS,8202810,45.07,-64.48,48
NAPPAN AUTO,NS,8203702,45.77,-64.23,19
SABLE ISLAND,NS,8204700,43.93,-60.02,5
SHARPE BROOK IHD,NS,8205085,45.02,-64.63,137
SHEARWATER RCS,NS,8205092,44.63,-63.52,24
SHELBURNE,NS,8205126,43.72,-65.25,29
SYDNEY CS,NS,8205702,46.17,-60.03,62
TRURO,NS,8205990,45.37,-63.27,39
WESTERN HEAD,NS,8206240,43.98,-64.67,10
YARMOUTH A,NS,8206495,43.83,-66.08,42
FORT RELIANCE,NT,2201900,62.72,-109.17,165
FORT SIMPSON CLIMATE,NT,2202102,61.77,-121.23,168
FORT SMITH CLIMATE,NT,2202202,60.03,-111.93,203
HAY RIVER A,NT,2202401,60.83,-115.78,164
HAY RIVER CLIMATE,NT,2202402,60.83,-115.78,164
INUVIK CLIMATE,NT,2202578,68.32,-133.52,103
NORMAN WELLS A,NT,2202801,65.28,-126.8,72
NORMAN WELLS CLIMATE,NT,2202810,65.28,-126.75,93
PAULATUK,NT,2203058,69.37,-124.08,6
TUNGSTEN,NT,2203922,61.95,-128.25,1143
YELLOWKNIFE A,NT,2204100,62.47,-114.43,205
HOLMAN CS,NT,2502505,70.77,-117.8,29
SACHS HARBOUR CLIMATE,NT,2503648,71.98,-125.25,87
BAKER LAKE A,NU,2300500,64.3,-96.08,18
BAKER LAKE CLIMATE,NU,2300501,64.32,-96.0,50
KUGLUKTUK CLIMATE,NU,2300904,67.82,-115.13,22
CORAL HARBOUR A,NU,2301000,64.18,-83.37,62
ARVIAT CLIMATE,NU,2301153,61.1,-94.07,9
GJOA HAVEN CLIMATE,NU,2302340,68.63,-95.85,42
KUGAARUK CLIMATE,NU,2303094,68.53,-89.8,15
RANKIN INLET A,NU,2303401,62.82,-92.12,32
CAMBRIDGE BAY A,NU,2400600,69.12,-105.13,31
CAPE DORSET CLIMATE,NU,2400636,64.23,-76.53,50
CLYDE A,NU,2400800,70.48,-68.52,26
HALL BEACH A,NU,2402350,68.78,-81.23,9
IQALUIT CLIMATE,NU,2402592,63.75,-68.53,33
